"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20486]","CONVERGENT MARGIN","IZU-BONIN ARC / BONIN (= OGASAWARA) ISLANDS / YOMEJIMA","","27.494703","27.494703","142.211719","142.211719","SAE","","","s_YM-2 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000143","0.0000141","","","","","","","","","","","","","","","","","","","","","","","","0.2447","","49.7","","","","","","","","1072622",
"[20486]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / FACPI FORMATION","","13.33014","13.33014","144.64947","144.64947","SAE","","","s_GM-1 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.004188","0.0000245","","","","","","","","","","","","","","","","","","","","","","","","0.4984","","859","","","","","","","","1072623",
"[20486]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / FACPI FORMATION","","13.32653","13.32653","144.65222","144.65222","SAE","","","s_GM-6 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000831","0.0000489","","","","","","","","","","","","","","","","","","","","","","","","0.2148","","82.9","","","","","","","","1072624",
"[20486]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / FACPI FORMATION","","13.35228","13.35228","144.64428","144.64428","SAE","","","s_GM-11 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00082","0.0000502","","","","","","","","","","","","","","","","","","","","","","","","0.1945","","79.4","","","","","","","","1072625",
"[20486]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / FACPI FORMATION","","13.3415","13.3415","144.6358","144.6358","SAE","","","s_GM-15 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000387","0.000155","","","","","","","","","","","","","","","","","","","","","","","","0.1372","","12.1","","","","","","","","1072626",
"[20486]","CONVERGENT MARGIN","MARIANA ARC / MARIANA ARC - SOUTHERN SEAMOUNT PROVINCE / GUAM / FACPI FORMATION","","13.340703","13.340703","144.642561","144.642561","SAE","","","s_GM-16 [20486]","BONINITE [20486]","","","","","","","","","VOL","","","","","WR [20486] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000614","0.0000493","","","","","","","","","","","","","","","","","","","","","","","","0.1672","","60.3","","","","","","","","1072627",
"[20730]","INTRAPLATE VOLCANICS","SINGHBHUM CRATON / SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM (COPPERBELT) THRUST ZONE / MALANGTOLI LAVAS","","21.6496","21.6496","85.3498","85.3498","SAE","","","s_T18 [20730]","BONINITE [20730]","","","PALEO [20730]","PROTEROZOIC [20730]","","","","","VOL","","","","","WR [20730] ","43.78","0.36","","10.11","","","","6.35","7.03","26.65","0.1","","1.01","0.7","0.12","","","","","","","","","","","","","","","","2.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.884709679288","","141.257822339919","1236.54973022464","","","57.0582479968811","107.177665436949","85.366164859159","86.4947756934885","10.3091905872726","","","","","131.184603920628","44.4940991742973","14.3338493052218","67.2981578949259","4.71147478242307","","","","","","","","","","","","1.71870373305151","189.650988939495","8.87910545028488","18.248577645471","1.76105010125461","9.05439549903859","1.93049246061781","0.522278394031436","2.25061047290136","0.395143524058037","2.19399452659277","0.472530776186953","1.4953619012633","0.24312702645318","1.34253023006813","0.185452488957895","1.60074839798374","2.0536596470015","","","","","","","","","4.31705155364864","","1.70183559916498","0.394808812868669","","","","","","","","","","","","","","","","","","","","","","","","","1113872",
"[20730]","INTRAPLATE VOLCANICS","SINGHBHUM CRATON / SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM (COPPERBELT) THRUST ZONE / MALANGTOLI LAVAS","","21.6496","21.6496","85.3498","85.3498","SAE","","","s_T20 [20730]","BONINITE [20730]","","","PALEO [20730]","PROTEROZOIC [20730]","","","","","VOL","","","","","WR [20730] ","44.25","0.3","","8.72","","","","6.56","7.85","27.57","0.11","","1.03","1.04","0.11","","","","","","","","","","","","","","","","2.07899999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.4814435858487","","132.917685358227","1293.81776089629","","","58.0279452624775","133.539517455464","59.0727518210931","164.55206400175","9.7857530757644","","","","","55.2262547693385","72.703145894561","13.5411065159249","61.4191545479263","3.83313939717404","","","","","","","","","","","","0.918463537638528","143.403314625594","7.01884028698014","14.601662002528","1.46618122203731","7.70843882051064","1.72263365816289","0.499907673939544","1.98276789548193","0.349221466089408","1.99659669960976","0.433266571953421","1.43598208729781","0.246080746186825","1.36312544133976","0.200333676597438","1.39768380991082","0.891795118283945","","","","","","","","","4.43367586420547","","1.50584068268155","0.368682857465664","","","","","","","","","","","","","","","","","","","","","","","","","1113873",
"[20730]","INTRAPLATE VOLCANICS","SINGHBHUM CRATON / SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM (COPPERBELT) THRUST ZONE / MALANGTOLI LAVAS","","21.6496","21.6496","85.3498","85.3498","SAE","","","s_T22A [20730]","BONINITE [20730]","","","PALEO [20730]","PROTEROZOIC [20730]","","","","","VOL","","","","","WR [20730] ","44.7","0.3","","8.46","","","","6.86","7.49","27.56","0.12","","0.41","1.14","0.11","","","","","","","","","","","","","","","","3.003","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2545810479531","","129.998840772481","1572.98599403197","","","66.2067685368369","143.673167574178","56.9338317386186","102.353756743579","8.3913705977374","","","","","18.2246092016204","78.9802076323855","13.0005156032177","56.9663401854958","3.66500060806071","","","","","","","","","","","","0.297537314259026","75.8531372266803","7.99817223033797","15.8636510496193","1.53572017802067","7.96447728839934","1.6899716706365","0.491303298132654","1.93641752884786","0.333497497631419","1.93243626360707","0.419362461844622","1.37445373444463","0.22648462832314","1.27312751512944","0.191741333743523","1.28784645567904","0.731446274923943","","","","","","","","","3.64490880044181","","1.45189561827483","0.332974140337199","","","","","","","","","","","","","","","","","","","","","","","","","1113874",
"[20730]","INTRAPLATE VOLCANICS","SINGHBHUM CRATON / SINGHBHUM CRATON_PROTEROZOIC / SINGHBHUM (COPPERBELT) THRUST ZONE / MALANGTOLI LAVAS","","21.6496","21.6496","85.3498","85.3498","SAE","","","s_T24 [20730]","BONINITE [20730]","","","PALEO [20730]","PROTEROZOIC [20730]","","","","","VOL","","","","","WR [20730] ","43.59","0.32","","8.89","","","","6.96","7.12","27.43","0.12","","0.64","1.1","0.11","","","","","","","","","","","","","","","","2.90519999999965","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.4149763971011","","133.602138231884","1483.12189819989","","","65.7428900818521","133.695458829011","66.3223390457893","80.1442532252288","9.2429863462491","","","","","29.1057229649187","83.3775513404122","15.3232426470441","57.9770830492072","3.9015056605543","","","","","","","","","","","","0.442909697993905","106.474284847636","10.6614339257334","19.9033620069386","1.88464383709317","9.35928721886709","1.96793983953223","0.587349216927119","2.33812701312035","0.403231647128315","2.28284735662288","0.489073283192122","1.61806672650957","0.260752907185906","1.39493828430987","0.205190592949457","1.3420540046861","0.63370443818944","","","","","","","","","7.64851932925727","","1.54703718008469","0.371220631309609","","","","","","","","","","","","","","","","","","","","","","","","","1113875",
"[6778][6759]","INTRAPLATE VOLCANICS","NEW ZEALAND / SOUTH ISLAND / TAKAKA TERRANE / DEVIL RIVER VOLCANICS","LOCKETT CONGLOMERATE","-40.87","-40.87","172.82","172.82","SAE","","","s_NZ-101 [6778]","BONINITE [6778]","","","","CAMBRIAN [6778]","","","","","VOL","","","","","WR [6778] ","55.5","0.27","","16.4","","0.93","5.6","6.44","4.24","6.64","0.13","","4.33","1.27","0.04","3.53","","","","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29","","148","88","","","34","61","","","","","","","","","","4.6","34","2.5","","","","","","","","","","","","","","5.3","11","1.2","3.8","0.75","0.43","0.72","0.12","0.75","0.18","0.48","0.09","0.55","0.089","0.8","0.32","","","","","","","","","","","3.7","0.8","","","","","","","","","","","","","","","","","","","","","","","","","112124",
"[2758]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / DABI","CAPE VOGEL PENINSULA","-9.8","-9.8","149.9","149.9","SAE","","","s_51 [2758]","BONINITE [2758]","","","","","","","","","VOL","","","","","WR [2758] ","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112410",
"[2758]","CONVERGENT MARGIN","NEW CALEDONIA / NEW CALEDONIA / POYA TERRANE","","-22","-22","163","168","SAE","","","s_39 [2758]","BONINITE [2758]","","","","","","","","","VOL","","","","","WR [2758] ","","","","","","","","","","","","","","","","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112411",
"[2758]","CONVERGENT MARGIN","NEW CALEDONIA / NEW CALEDONIA / POYA TERRANE","NEPOUI","-22","-22","163","168","SAE","","","s_52 [2758]","BONINITE [2758]","","","","","","","","","VOL","","","","","WR [2758] ","","","","","","","","","","","","","","","","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112412",
"[2758]","CONVERGENT MARGIN","NEW CALEDONIA / NEW CALEDONIA / POYA TERRANE","","-22","-22","163","168","SAE","","","s_145 [2758]","BONINITE [2758]","","","","","","","","","VOL","","","","","WR [2758] ","","","","","","","","","","","","","","","","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112413",
"[2758]","CONVERGENT MARGIN","NEW CALEDONIA / NEW CALEDONIA / POYA TERRANE","","-22","-22","163","168","SAE","","","s_184 [2758]","BONINITE [2758]","","","","","","","","","VOL","","","","","WR [2758] ","","","","","","","","","","","","","","","","3.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112414",
"[2758]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / DABI","CAPE VOGEL PENINSULA","-9.8","-9.8","149.9","149.9","SAE","","","s_182 [2758]","BONINITE [2758]","","","","","","","","","VOL","","","","","WR [2758] ","","","","","","","","","","","","","","","","1.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112435",
"[2758]","CONVERGENT MARGIN","NEW CALEDONIA / NEW CALEDONIA / POYA TERRANE","NEPOUI","-22","-22","163","168","SAE","","","s_49 [2758]","BONINITE [2758]","","","","","","","","","VOL","","","","","WR [2758] ","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112436",
"[2263]","CONVERGENT MARGIN","IZU-BONIN ARC / BONIN (= OGASAWARA) ISLANDS / CHICHI-JIMA/TITI-ZIMA","","27.3","27.3","142.3","142.3","SAE","","","s_106 [2263]","BONINITE [2263]","","","","","","","","","VOL","","","","","WR [2263] ","56.2","0.13","","10.57","","2.02","6.23","","7.44","11.19","0.16","","0.4","1.54","0.02","","3.02","0.93","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","","181","695","","","","194","","","","","","","","9","61","5","20","1","","","","","","","","","","","","","30","0.82","1.79","0.27","1.2","0.35","0.11","0.4","0.08","0.6","0.14","0.44","","0.52","","0.5","","","","","","","","","","1.7","","0.1","0","0.51204","","","0.70515","","","","","","","","","","","","","","","","","","","","","112465",
"[2263]","CONVERGENT MARGIN","BISMARCK ARC - NEW BRITAIN ARC / BISMARCK ARC - NEW BRITAIN ARC / NEW GUINEA / DABI","CAPE VOGEL PENINSULA","-9.8","-9.8","149.9","149.9","SAE","","","s_B6 [2263]","BONINITE [2263]","","","","","","","","","VOL","","","","","WR [2263] ","53.71","0.21","","7.77","","2.33","7.03","","4.64","18.49","0.17","","0.19","0.83","0.03","","2.98","1.34","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","136","1930","","","","540","","","","","","","","4","63","4","30","1.5","","","","","","","","","","","","","30","2.5","5.46","0.61","2.84","0.75","0.24","0.74","0.13","0.79","0.16","0.47","","0.48","","0.7","","","","","","","","","","1.3","","0.5","0.2","0.51205","","","0.70477","","","","","","","","","","","","","","","","","","","","","112466",
